file_path,caption,_STATUS_
/mnt/data/Downloads/walls-main/mountain/a_body_of_water_with_rocks_and_a_cliff.jpg,a view of the ocean from a cliff,ERROR
/mnt/data/Downloads/walls-main/mountain/a_castle_on_a_hill_with_fog_with_Eltz_Castle_in_the_background.jpg,a castle in the middle of a forest,PROCESSED
/mnt/data/Downloads/walls-main/mountain/a_city_in_the_distance_with_clouds.jpg,a view of a city from the top of a mountain,PROCESSED
/mnt/data/Downloads/walls-main/mountain/a_close_up_of_rocks.jpg,a close up of rocks in the water,
/mnt/data/Downloads/walls-main/mountain/a_iceberg_in_the_water_with_mountains_in_the_background.jpg,a large iceberg floating in a body of water with mountains in the background,
/mnt/data/Downloads/walls-main/mountain/a_large_canyon_with_a_sunset_with_Badlands_National_Park_in_the_background.jpg,the sky is orange,
/mnt/data/Downloads/walls-main/mountain/a_large_rock_formation_in_the_mountains.jpg,the sun is setting on half dome,
/mnt/data/Downloads/walls-main/mountain/a_large_rock_formation_on_a_beach.jpg,a large rock on the beach,
/mnt/data/Downloads/walls-main/mountain/a_large_rock_in_the_middle_of_a_body_of_water.jpg,a large rock in the middle of a body of water,
/mnt/data/Downloads/walls-main/mountain/a_mountain_range_with_clouds_in_the_background.jpg,a black and white photo of a mountain range,
/mnt/data/Downloads/walls-main/mountain/a_mountain_range_with_dark_clouds.jpg,a plane flying over a mountain range under a cloudy sky,
/mnt/data/Downloads/walls-main/mountain/a_mountain_range_with_snow_on_top.jpeg,an image of a mountain in the distance,
/mnt/data/Downloads/walls-main/mountain/a_mountain_range_with_snow_on_top_01.jpg,a view of a mountain range with clouds in the sky,
/mnt/data/Downloads/walls-main/mountain/a_mountain_range_with_trees_and_a_valley.jpg,"a full moon shines over half dome in yosone national park, yoson, california",
/mnt/data/Downloads/walls-main/mountain/a_mountain_with_a_road_going_through_it.jpg,a black and white photo of a mountain range,
/mnt/data/Downloads/walls-main/mountain/a_mountain_with_clouds_above_it.png,a mountain in the clouds with a blue sky,
/mnt/data/Downloads/walls-main/mountain/a_mountain_with_clouds_in_the_sky.jpg,a mountain covered in clouds,
/mnt/data/Downloads/walls-main/mountain/a_mountain_with_smoke_coming_out_of_it.jpg,the clouds are white,
/mnt/data/Downloads/walls-main/mountain/a_mountain_with_snow_and_clouds.jpg,a large mountain covered in snow and clouds,
/mnt/data/Downloads/walls-main/mountain/a_mountain_with_snow_and_clouds_01.jpg,a mountain covered in snow under a cloudy sky,
/mnt/data/Downloads/walls-main/mountain/a_mountain_with_snow_and_trees.jpg,a mountain covered in snow next to a forest,
/mnt/data/Downloads/walls-main/mountain/a_mountain_with_snow_on_top.jpg,a snow covered mountain peak with a plane flying in the sky,
/mnt/data/Downloads/walls-main/mountain/a_mountain_with_snow_on_top_01.jpg,a mountain with a pink sky in the background,
/mnt/data/Downloads/walls-main/mountain/a_mountain_with_snow_on_top_02.jpg,a mountain with a snow covered peak in the background,
/mnt/data/Downloads/walls-main/mountain/a_mountain_with_snow_on_top_and_a_body_of_water_01.jpg,a large body of water with a mountain in the background,
/mnt/data/Downloads/walls-main/mountain/a_mountain_with_snow_on_top_and_trees_in_the_background.jpg,the sky is clear,
/mnt/data/Downloads/walls-main/mountain/a_person_on_a_cliff.jpg,the clouds are white,
/mnt/data/Downloads/walls-main/mountain/a_river_in_a_snowy_landscape.jpg,a river running through a snowy landscape with mountains in the background,
/mnt/data/Downloads/walls-main/mountain/a_road_going_through_a_valley.jpg,an aerial view of a winding road in the mountains,
/mnt/data/Downloads/walls-main/mountain/a_road_with_trees_and_mountains_in_the_background.jpg,a long road with trees and mountains in the background,
/mnt/data/Downloads/walls-main/mountain/a_rocky_cliff_with_trees_and_fog.jpg,a person standing on top of a mountain,
/mnt/data/Downloads/walls-main/mountain/a_rocky_island_with_waves_crashing_on_it.jpg,a large rock in the middle of the ocean,
/mnt/data/Downloads/walls-main/mountain/a_rocky_island_with_waves_crashing_on_it.png,a large rock in the middle of the ocean,
/mnt/data/Downloads/walls-main/mountain/a_silhouette_of_trees_on_a_hill.jpg,the sky is pink,
/mnt/data/Downloads/walls-main/mountain/a_small_waterfall_in_a_grassy_area.jpg,a stream of water running through a rocky landscape,
/mnt/data/Downloads/walls-main/mountain/a_snowy_mountain_range_with_sun_shining_on_it.jpg,the mountains are covered in snow,
/mnt/data/Downloads/walls-main/mountain/a_snowy_mountain_range_with_trees.jpg,the mountains are covered in snow,
/mnt/data/Downloads/walls-main/mountain/a_snowy_mountain_tops.jpg,a large mountain covered in snow under a clear blue sky,
/mnt/data/Downloads/walls-main/mountain/a_snowy_mountain_tops_with_a_grey_sky.jpg,a plane flying over a snowy mountain range,
/mnt/data/Downloads/walls-main/mountain/a_snowy_mountain_tops_with_blue_sky.jpg,a clear blue sky,
/mnt/data/Downloads/walls-main/mountain/a_snowy_mountain_tops_with_clouds_in_the_background.png,a black and white photo of mountains under a cloudy sky,
/mnt/data/Downloads/walls-main/mountain/a_snowy_mountain_top_with_dark_sky.jpg,a plane flying over a mountain range at night,
/mnt/data/Downloads/walls-main/mountain/a_snowy_mountain_with_a_lake_in_the_middle.jpg,a mountain with snow on it and some clouds in the sky,
/mnt/data/Downloads/walls-main/mountain/a_tree_in_a_body_of_water_with_mountains_in_the_background.jpg,a lone tree in the middle of a lake,
/mnt/data/Downloads/walls-main/mountain/a_waterfall_in_the_snow.jpg,a rainbow in the sky over a waterfall,
/mnt/data/Downloads/walls-main/mountain/a_mountain_range_with_snow_on_top.jpg,the top of a mountain with snow on it,
/mnt/data/Downloads/walls-main/mountain/a_mountain_with_snow_on_top_and_a_body_of_water.jpg,a large body of water with a mountain in the background,
